,Tweet
27,"Factors that led to #Cong victory in HP : 1. Aggressive campaign by @priyankagandhi which brought in lot of youth and women vote 2. Meetings of CP 3. Enblock ESM vote against #Agnipath ,OROP 3.Promising OP, rising prices 4. Media campaign 5. Anti incumbency."
28,"This issue brief by @Gauravbhattarai and @SarojAryal00 discusses the impacts of the #Agnipath scheme on #military labour migration from #Nepal to #India, and on the larger bilateral relationship between the two countries https://t.co/yupATyjVxL"
29,"Become #Agniveer

Eligibility criteria &amp; other details https://t.co/Vudb1JI97P
And
@Employ_News of #03Dec 22 https://t.co/uVQFonVQCM"
30,"#JoinIndianNavy
Become an #Agniveer

Online applications invited for enrolment as Agniveer (SSR) &amp; Agniveer (MR) for 01/2023 batch

Last date for submission of online application #17Dec 22

Eligibility criteria &amp; other details https://t.co/P6PM7Lfpr8
And
@Employ_News of #03Dec 22 https://t.co/vyfx378bgN"
31,"The main reasons for bjp's defeat in #HimachalPradeshElections are mainly #Agniveer and old pension scheme. So Bsdkwalo Public ki bhi Suno, nhi to fir Satta ke banwas me lamba Baithoge. 🤗"
32,"Meet the 1st Batch of Indian Navy's #Agniveer who will undergo training at #INSChilika, Odisha. 🇮🇳⚡️
.
.
#IndianNavy #AgniveerNavy #Odisha #JaiHind https://t.co/cLStAaQk4z"
33,"09 December 1971

#LiberationWar1971

Naik Sugan Singh displayed conspicuous courage, 
#agniveer #GujratElection2022 #HimachalElectionResults2022 @PutinJet @BJP4India @INCIndia @adgpi https://t.co/5I7ujofvAK"
34,"#sandeepsirdoondefenceacademy #JoinSandeepSirDDA #HarKaamDeshKeNaam #Agniveer

First Batch of Sailors ( Girls)- Agniveer entry reported at INS Chilka for their basic training. 

All the best DDA Diamonds ( Girls) 

Sandeep Sir 

#SandeepSirDDA https://t.co/Edlf6wyebI"
35,"#VajraCorps #DefendersOfPunjab
#GeneralOfficerCommanding visited ongoing #Agniveer #RecruitmentRally at #JalandharCantt. He appreciated high standards &amp; transparent conduct of Rally. The exuberant spirit &amp; tenacity of aspirants was also commendable.
#IndianArmy
@adgpi https://t.co/A7FXDSjGyF"
36,"#Agniveer: AFTER 4 YRS, ABSOLUTELY:
NO JOBS GUARANTEE ASSURED! 
NO FUTURE PROSPECTS!
NO PENSION OR FINANCIAL AIDS: ASSURED!

DURING THE SERVICE:IF #Agiveer DIES OR BECOME DISABLE:
 ANY FINANCIAL PROVISION: PARENTS, NEXT KIN?

WOULD #Agniveer GUARANTEE: MILITARY SPIRIT IN ACTION? https://t.co/Xs69uROtQP https://t.co/F6ZqhttCbv"
37,"#VajraCorps #DefendersOfPunjab
#GeneralOfficerCommanding visited ongoing #Agniveer #RecruitmentRally at #JalandharCantt. He appreciated high standards &amp; transparent conduct of Rally. The exuberant spirit &amp; tenacity of aspirants was also commendable.
#IndianArmy
@adgpi https://t.co/4aECEawId8"
38,"@htTweets Education and Schools ? Thats not #YogiAdityanath or  his masters @DrMohanBhagwat priority. 
What you guys will do with education - at last we need fighters- street fighters ! 
Thats why #Agniveer thats why no jobs - go to #Adani for jobs now. @gautam_adani @AdaniOnline will give"
39,The convincing electoral defeat of BJP in Himachal is also attributed to rejection of the #AgnipathScheme by the people of the state. Similar results are expected in the impending Haryana and Rajasthan.  https://t.co/JN1P60zhvz
40,@RSSorg Send them all to border- or these guys will be working with #Agniveer ? https://t.co/iysPNgN0PH
41,"#HimachalPradesh leads way for eradicating misgovernance, unemployment, distrust, division &amp; distorted decisions like Farm Laws, #Agniveer.. &amp; to bring back harmony, peace, progress &amp; prosperity as envisioned by #BharatJodoYatra led by @RahulGandhi @INCIndia in #HimachalElections https://t.co/OP2Ts2ulj7"
42,"Agniveer Recruitment Online Apply 2022 - 1,500 Posts.
#Agniveer #Agnipath #Recrutement 
https://t.co/JKsz33bhDh"
43,"@ARanganathan72 @amitmalviya They didn't take into Consideration that there are Practically No Faujis of #OROP or #Agniveer or #Agniveer or #SPARSH Victims unlike in #HimachalElection2022 . No intelligence needed, just Common Sense. Rest the List Talks https://t.co/SKldf1XnhE"
44,@PandiaAmit @DefenceMinIndia @rajnathsingh @DefenceAccounts @adgpi @PMOIndia @narendramodi Believe the Youth were cut up with #Agnipath too... The so called Law makers enjoy a pension for every election won and even if they are Minister or MLA or MP for one day. But this Govt wants Conscripts by way of 4 year #Agniveers with Not only No Pension but NO Veteran Status.
45,"To boost civil-military relations &amp; encourage the youth to join #IndianArmy as #Agniveer, the #RedShieldDivision of @SpearCorps organised a Christmas Carol Singing Competition with theme of #AzadiKaAmritMahotsav. 18 choir groups participated &amp; above 1000 locals attended the event https://t.co/qXWFFj2HFY"
46,"To boost civil-military relations &amp; encourage the youth to join #IndianArmy as #Agniveer, the #RedShieldDivision of @SpearCorps organised a Christmas Carol Singing Competition with theme of #AzadiKaAmritMahotsav. 
#أمل_العبرية 
#فضيحه_نوره_الدوسري 
#snow 
#GujaratElectionResult https://t.co/40j4f3GiTA"
47,"#Agniveer Rally (06-12 Dec) for the youth of #ArunachalPradesh at #Rupa witnessing large number of aspirants for recruitment. Come join #IndianArmy to be a worthy citizen of the nation.
#agnipathrecruitment 
#IndianArmyPeoplesArmy  #Agniveer #agniveerarmy #art #ArunachalPradesh https://t.co/Y1HBqaxmES"
48,"#Agniveer Rally (06-12 Dec) for the youth of #ArunachalPradesh at #Rupa witnessing large number of aspirants for recruitment. Come join #IndianArmy to be a worthy citizen of the nation.
#agnipathrecruitment 
#IndianArmyPeoplesArmy  #Agniveer #agniveerarmy #art #ArunachalPradesh https://t.co/7WUbJIGUzB"
49,@LambaAlka This #Agniveer SCAM speech also worked big time. https://t.co/006XkY4jSd
50,"@narendramodi Hearty congrats to beloved team p.m💖 for superb victories.
But Delhi MCD &amp; Himachal are eye openers as well as  indicators.
The reasons for debacles
1.#Agniveer Scheame distressed the youth
2.People see #BSNL4G issue as a pointer to croney capitalism
3.#Inflation"
51,"RIP Sir, Late Gen Bipin Rawat PVSM UYSM AVSM YSM SM VSM Greatly privileged to have seen &amp; experienced your  #leadership during the formative years of the office of #CDS &amp; #DMA Transformation is never easy! #HarKaamDeshKeNaam
#AtmaNirbharBharat #Agnipath #Agniveer #TheatreCommands https://t.co/CuWalJCeMO https://t.co/pA1ha1uGSh"
52,"#Agniveer Join Indian #Army/ #Navy/ #AirForce
#Physical #Training &amp; #Written #Examination

Defence Academy Cantt Lucknow UP 226002
24×7 Call/ Whatsapp: 9889 352575, 8756 352575
→Genral Duty #gd
→Nursingh Assistant #na
→Clerk/SKT Clerk 
→Technical #teck
→Tradesman #trd
Reg. https://t.co/SkpRgRudkQ"
53,@ranikhet Not true . #Agniveer  was non issue . It was wrong candidates resulting in 22 rebels. Party didn’t abandon overtly corrupt ministers . OPS lured employees ….
54,"Congress leaders credit Priyanka Gandhi for Himachal win

#Agnipath #AICC #Congress #Himachal #Himachalpolls #HimachalPradesh #HimachalPradeshAssemblypolls #HimachalPradeshpolls #inflation #PriyankaGandhi #RajeevShukla #unemployment #National #NewsUpdates

https://t.co/Y2QvLqeccV"
55,I was this day old when I knew. . #Agnipath was inspired From #scarface . . And @SrBachchan did a good job as #vijaydinananthchauhan but no match to #tonymontana
56,"My writeup
#india #politics #congress #bjp #HimachalPradeshElections
#AamAadmiParty #Agniveer
https://t.co/PrHrPzifqU"
57,@MediaHarshVT @BJP4India You forgot to put the right option #Agniveer
58,"@LeftistPahadi Today Himachal people proved that there are issues like #ops #unemployment #agniveer
Uttarakhand  voters should learn 
Wrna soulmate or murga leke vote doge to Haara hua vidhayak mukhyamantri milega"
59,Let’s not forget that the vote against RSS BJP and #NarendraModi in #HimachalPradeshElections is also a vote against Modi’s #Agnipath #Agniveer armed forces recruitment scheme.
60,"Business in the name of Country defense...

Indian Navy Application Form Fees: 550+18% GST = 649/- 🙄
SSC Vacancy Form Fees: 100/-
UPSC Application Form Fees: 100/-

#IndianNavy #Agnipath #agniveerbharti"
61,"@Brahamvakya RSS saved no body, they can't even save themselves. Erstwhile Mewat area was cleared by Alwar Riyasat when they rioted however Gandhi and others brought them back from Pak.
#Agniveer si another #masterstroke that will only harm Hindus and their only saviours i.e. Armed Forces"
62,The local Territorial #Army Unit under the aegis of Romeo Force organised a lecture to #motivate students to join the #ArmedForces. #IndianArmyPeoplesArmy #AmritMahotsav #Agnipath #Agniveer #NccDay #KVD2022 #TringaAtLalChowk https://t.co/c9wQYs8o3G
63,#Army organised a lecture to #motivate students to join the Armed #Forces. #IndianArmyPeoplesArmy #AmritMahotsav #IndianArmyFauji #Agniveer #AgniPath #NccDay #KVD2022 https://t.co/GkEu32PcXR
64,#HimachalPradesh  people made #BJP leaders #Agniveer . Now what will happen to #JPNadda 🤔
65,"@tehseenp Wrong analysis.
HP has a tradition of defeating the incumbent.
HP state govt has no say in the #Agniveer scheme.
Moreover @priyankagandhi is not even an MP, so her rants are irrelevant.
BJP lost due to rebels.

Bigger Q: Will Congress be able to hold on to different factions ?"
66,The Congress victory in the  #HimachalPradeshElections is extremely important cause the Congress has won a state in the hindi Heartland with almost 60% upper caste population. This victory shows that the Cong can win on culture &amp; national interest (#Agniveer )
67,#IndianNavy #Agniveer (MR/SSR) #agniveerbharti  #SarkariNaukri #GovernmentJobs #vacancy #Recruitment 01/2023 (May 2023) batch entry https://t.co/rg8tr6QUEG https://t.co/qIEjJB4zmz
68,"Indian Air force Recruitment AFCAT 2023 Notification:

For more information visit:
https://t.co/BiQ1JRJtDg

#indian #airforce #soldiers #army #navy #agniveer #notification #job #news #recruitment #youth #indianarmy #registration #skill #military #government #employment #training https://t.co/l4JNOXVHjM"
69,"Despite #Agnipath's four-year service limitation, youth from #Nepal’s financially marginalised sections may be interested in joining the #IndianArmy since its perks and payments are superior to those of the Nepali Army: @Gauravbhattarai &amp; @SarojAryal00  https://t.co/yupATy2k9b"
70,"WATCH: ‘India will be comfortable with whoever comes to power in Nepal.’ Gen Ashok Mehta says controversy surrounding Gorkha recruitment under Agniveer remains the biggest issue in Nepal-India relations. 
#NepalIndiaRelations #Geopolitics #Agniveer https://t.co/i1rmmyjk0E https://t.co/OmdaDt2Q5Q"
71,@Suhelseth @BJP4India #Agnipath scheme
72,"@tanvi_pruthi @anilshroti @angryoldman27 Results would have been opposite, given the charismatic leadership of modiji but the issue which made difference was the #Agniveer scheme, which galvanized the youth against the BJP"
73,"@Suhelseth @BJP4India Do you think #Agniveer/#Agnipath scheme is responsible for galvanizing the youth of Himachal against the BJP, leading to its defeat ?"
74,@amitabhafirst @ColSanjayPande Not to forget #Agnipath. #HimachalElectionResult
75,@Gauravbhattarai @SarojAryal00 What does India's #Agnipath scheme mean for Nepal's military labour migration? and @SarojAryal00 explore. https://t.co/yupATyjVxL
76,@ANI Do you think BJP lost himachal due to #Agniveer/ #agnipath scheme?
77,Perceptions around #pension &amp; #Agnipath sank #BJP in #HimachalPradeshElectionResult.
78,"Agniveer scheme looks like not much popular in Himachal.

#Agniveer #HimachalElectionResults2022 #HimachalElectionResult #Himachal"
79,"Switch to #Agniveer scheme one of the top reasons why Himachal voted Congress, reports ⁦@grewal_sharma⁩ Advantage Congress in Himachal: Five reasons why voters are leaning towards the party

https://t.co/VJwTl7QLL7

Click here to download IndianExpress App"
80,Did the #Agnipath scheme play some role in Himachal Pradesh?
81,"Indian Navy MR Recruitment 2022: Vacancy For Up To 100 Agniveers 
.
.
#Career #careerdevelopment #Jobs #JobSeekersSA #JobSearch #Hiring #GovtJobs #Vacancy #Recruitment #Agniveer #IndianNavy #thursdayvibes 
https://t.co/RwBqxjJiKA"
82,"Dear @INCIndia plez note that one IMP factor in #HP which went in its favour is #Agniveer and #OROP issues.
Must be integrated in future elections in states with have high numbers of #Veterans and #DefenceAspirants.

@VineetPunia @tehseenp @kharge @kcvenugopalmp"
83,"Strong resentment against the #AgnipathScheme particularly in the districts of Kangra, Una, Hamirpur and Mandi comprising 35 of the 68 seats in the Assembly ensured victory for the Congress in #Himachal. 
#HimachalElectionResults2022 
#HimachalElections"
84,17 ఏళ్లకే.. ఉద్యోగం పక్కా jobs based on intermediate and withbout any degree. #IndiaJobs #Freshers #Intermediate #AgniVeer https://t.co/6n6nHemWlV
85,"@mehedihasan8989 @damienstweet @mr_mayank @AnumaVidisha @PriaINC @psysachin @Morewithshashi @ShivAroor @gauravcsawant @zoo_bear #HimachalPradeshElections the @INCIndia has shown growth of 90% 
The @BJP4India lost so badly for failures on #OROP #Agniveer #FarmersProtest some whispers in the power corridors @JPNadda was getting too BIG, need to show him his place #OMG 
@RiaRevealed @amitmalviya"
86,@narendramodi @BJP4India has got it's first popular response to #Agnipath in #HimachalPradeshElectionResult #HimachalElectionResults2022 shows days of #civilmilitarydisconnect  having no electoral consequences are gone. #agnipathrecruitmentscheme #DefenceBudget #defencereform
87,"This issue brief by @Gauravbhattarai and @SarojAryal00 discusses the impacts of the #Agnipath scheme on #military labour migration from #Nepal to #India, and on the larger bilateral relationship between the two countries https://t.co/yupATyjVxL"
88,@NavroopSingh_ @urbanrural1 I think it was the #Agniveer propaganda
89,"Another reason why you shouldn't trust Exit Polls.

On the day votes were polled in Himachal, @Morewithshashi ji gave me the following numbers:
INC- 40
BJP- 26
IND- 2
AAP- 0
I didn't believe him then, but he was bang on 👌

#Agnipath was a major issue in HP. BJP must rethink! https://t.co/urlMmr1lnd"
90,#Agniveer scheme is costing @BJP4India #HimachalPradeshElections
91,HP election result shows that #Pahadi people rejected #Agniveer Yojna of @narendramodi govt. If they don't get it now wait for another pahadi state #Uttarakhand election where people will reject BJP especially young people. Coz young Pahadi people 1st preference is always Defence https://t.co/k7nbKVXrd4
92,@TheNisargSoni @SoniUpadhyaya @DrAkankshaRai @ExpertShetty @indodrive @pallavict @Real18ashutosh @SaundiD @SwethaAjeeth @ParasKGhelaanii @ChowkidarChokra @nair_nandu08 Salute to the Chief Architect of #Agniveer Scheme #CDSBipinRawat Ji https://t.co/YbVdzcOcv6
93,"It looks like #AgnipathScheme has caused BJP a state already.
#AssemblyElections2022 https://t.co/wdeCyl1Qji"
94,Brigadier Shri Pardeep Yadav ji explained on #Agniveer during #BharatJodoYatra https://t.co/aKrd1vjA1F
95,"Army Way of Life … circa Dec 1986
Any idea what’s happening here ?
Hint : only one person in uniform 
#IndianArmyPeoplesArmy 
#ArmyLife
#agnipath 
#Agniveer 
#Hamareveer https://t.co/ceAMrbUqK4"
96,"#Google has announced results of Year in Search 2022 which shows “What is #Agnipath Scheme” is the most searched topic of the year under the ‘what is’ category 

https://t.co/4NxwKsNQwe"
97,"#Agniveer Rally (06-12 Dec) for the youth of #ArunachalPradesh at #Rupa witnessing large number of aspirants for recruitment. Come join #IndianArmy to be a worthy citizen of the nation.
#agnipathrecruitment 
#IndianArmyPeoplesArmy https://t.co/OEE4hI5cai"
98,"OPS effect in Himachal was going to be a factor, it seems the privileged class wants more  and that too free...

hang the nation.

a #Agniveer type scheme for the govt service is a must"
99,"#Agniveer #Women #BreakingNews 

🔥🌟🔥🌟🔥🌟🔥🌟🔥🌟🔥
🔴Subscribe #c4yourself on #YouTube
https://t.co/4Ewkk1piwT

🟢Download the #app now
https://t.co/MQF9xrtRoz

🟣#Support me:
For #international #viewers 👉https://t.co/1p9HjTzU3t

🌟🔥🌟🔥🌟🔥🌟🔥🌟🔥🌟 https://t.co/IN3G2xCvRM"
100,Brigadier Shri Pardeep Yadav ji explained on #Agniveer during #BharatJodoYatra https://t.co/vtHYPmo3jK
101,"The #Agnipath scheme has caused some uncertainty about the future of the Indian Army’s Gorkha regiments, which are made up of soldiers from Nepal’s Gorkha community. @Gauravbhattarai &amp; @SarojAryal00 https://t.co/mfC5jGZrbN"
102,"#IndianArmy #CrossedSwordsDivision, promoting talented youth to shine in the field of sports, distributed Volleyball Kits at Govt High School, Maira Mandrian &amp; organised coaching for enthusiasts.
#TrumpIsDone
#scaramouche
#lindol #agnipathscheme
#المغرب_اسبانيا
  #البرتغال_سويسرا https://t.co/PjsxUkDa5F"
103,"#IndianArmy
#NausheraBrigade organised a Painting competition for the children of border villages of Naushera to celebrate the #ArmedForcesFlagDay. The event was organised to honour the soldiers &amp; veterans of the Indian Armed Forces.
#Portugal #البرتغال_سويسرا #agnipathscheme https://t.co/J9ICtUss16"
104,"#IndianArmy organised an interaction with young children at Govt School, Parrah, #Rajouri on #ArmedForcesFlagDay celebrations. Motivated the children towards Nation building. 
#NationFirst 
#BadalataKashmir #البرتغال_سويسرا #agnipathscheme #الرياض_الان #BlueJays #JammuKashmir https://t.co/Y2i8OnJEw3"
105,"#IndianArmy #CrossedSwordsDivision, promoting talented youth to shine in the field of sports, distributed Volleyball Kits at Govt High School, Maira Mandrian &amp; organised coaching for enthusiasts.
#TrumpIsDone
#scaramouche
#lindol #agnipathscheme
#المغرب_اسبانيا
  #البرتغال_سويسرا https://t.co/kobPTbrrbL"
106,"#IndianArmy
#NausheraBrigade organised a Painting competition for the children of border villages of Naushera to celebrate the #ArmedForcesFlagDay. The event was organised to honour the soldiers &amp; veterans of the Indian Armed Forces.
#Portugal #البرتغال_سويسرا #agnipathscheme https://t.co/CvjHuTj3T4"
107,"#IndianArmy organised an interaction with young children at Govt School, Parrah, #Rajouri on #ArmedForcesFlagDay celebrations. Motivated the children towards Nation building. 
#NationFirst 
#BadalataKashmir #البرتغال_سويسرا #agnipathscheme #الرياض_الان #BlueJays #JammuKashmir https://t.co/LUaNws45dM"
108,"@narendramodi Hopefully @DefenceMinIndia @rajnathsingh will start #training camp soon. 

#Agniveer #Agnipath #Bilaspur 

@ArunSao3 @PMOIndia https://t.co/0BpblPVIXX"
109,"*PANZGAM YOUTH MAKE IT TO AGNIVEER RECRUITMENT EXAM*

The hard work of young boys has started showing results as they are a step closer to join #IndianArmy as #Agniveer. Aspirants of #Panzgam area have made it in written exam held on 13 November 2022.

#Kupwara #Kashmir https://t.co/tiA7DydDDD"
110,"In consonance with its efforts towards #womenempowerment, #IndianArmy dedicated a Disposable Plate #MakingMachine #IndianArmyPeoplesArmy #AmritMahotsav #NccDay #WeCare #Agniveer #AgniPath #IndinArmyWithAwam https://t.co/xIw9MY9JCC"
111,#IndianArmy organised a #Drawing and #Painting competition at  #Rajouri #IndianArmyPeoplesArmy #AmritMahostav #wecare #Agnipath #Agniveer #AwamKiFauj #KVC2022 #SportsFever https://t.co/hKkAr4zrBZ
112,#IndianArmy culminates a grand #cricket #tournament at Sangaldan today. 32 teams of #Ramban. #IndianArmyPeoplesArmy #AmritMahostav #Agniveer #AgniPath #AwamAurJawan #WeCare #nccday #shiningJk https://t.co/gy5cJN9VKX
113,"#GoogleYearinSearch2022 - What is Agneepath Scheme, the Central Govt scheme that made it to the top searches

#AgnipathScheme #AgneepathScheme #Agniveer 

https://t.co/UYfa4mRDaj"
114,"Results of Entrance Examination for Agniveer recruitment to Indian Army from #Kashmir Division and #Ladakh UT declared.
@rajnathsingh
@OfficeOfLGJandK
@lg_ladakh
@lg
#Agniveer
@SpokespersonMoD
@diprjk @DIPR_Leh @PIB_India @prasarbharti @ddnewsSrinagar @ddnewsladakh @adgpi"
115,"#Agnipath. #Agniveer Rally (06-12 Dec) for the youth of #ArunachalPradesh at #Rupa witnessing large number of aspirants for recruitment. Come join #IndianArmy to be a worthy citizen of the nation.
@adgpi 
@easterncomd 
@MyGovArunachal https://t.co/E15toYXS0l"
116,"Results of CEE/Written Test for  #Agniveer General Duty, Technical, Clerk/Store Keeper Technical and Tradesmen categories have been uploaded on the official website https://t.co/OFh7R0twtU Successfull candidates to report to Army Recruiting Office, Srinagar
@prasarbharti https://t.co/4G7sLW2yk4"
117,"Indian Army is preparing the local youth for kishtwar region to join the Armed Forces.
#AgniVeer
#IndianArmyPeoplesArmy
@Whiteknight_IA
@Northerncomd_IA
@prodefencejammu https://t.co/Z9Sl7YKdS9"
118,"This issue brief by @Gauravbhattarai and @SarojAryal00 discusses the impacts of the #Agnipath scheme on #military labour migration from #Nepal to #India, and on the larger bilateral relationship between the two countries https://t.co/yupATy2k9b"
119,"This brief by @Gauravbhattarai and Saroj Kumar Aryal discusses the impacts of the #Agnipath scheme on #military labour migration from #Nepal to #India, and on the larger bilateral relationship between the two countries

https://t.co/mfC5jGZrbN"
120,"This issue brief by @Gauravbhattarai and @SarojAryal00 discusses the impacts of the #Agnipath scheme on #military labour migration from #Nepal to #India, and on the larger bilateral relationship between the two countries. 

https://t.co/yupATy2k9b"
121,"Dil Maange More-Acting Workshop
Opening Ceremony for 10 day Acting Workshop conducted at APS Udhampur on 05 Dec 2022 by Mr Phonsuk Ladhaki.
#IndianArmy 
#IndianArmyInKashmir 
#IndianArmyPeoplesArmy 
#BadlataIndia
#Awamkafaisla
#Agnipath 
#Agniveer https://t.co/jCnNntxzym"
122,"Over 20,000 youths registered &amp; participated in #Agniveer #recruitment rally conducted by #IndianArmy at #Siliguri that concluded on 06 Dec 22. The #rally witnessed overwhelming response &amp; eagerness among the youth to serve the #IndianArmy.

@adgpi 
@easterncomd https://t.co/vEseYoXQK2"
123,"Dil Maange More-Acting Workshop
Opening Ceremony for 10 day Acting Workshop conducted at APS Udhampur on 05 Dec 2022 by Mr Phonsuk Ladhaki.
#IndianArmy 
#IndianArmyInKashmir 
#IndianArmyPeoplesArmy 
#BadlataIndia
#Awamkafaisla
#Agnipath 
#Agniveer https://t.co/AaBspfsBgu"
